,n,p,Metric,LogLKL,KendallTau,KernelSim
0,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.4583333333333333
1,6,0.1,ILP-PA1,-9.631782434607487,0.3333333333333333,0.19166666666666665
2,6,0.1,ILP-PA2,-5.026612248619396,0.6,0.33130525295851415
3,6,0.2,ReverseLPA,-8.93976376742734,0.2,0.1851851851851852
4,6,0.2,ILP-PA1,-7.77661295762166,0.06666666666666665,0.3891987614656678
5,6,0.2,ILP-PA2,-5.94403149387335,-0.2,0.4583333333333333
6,6,0.3,ReverseLPA,-9.854509406036483,-0.6,0.2435185185185185
7,6,0.3,ILP-PA1,-5.529241105181209,-0.2,0.48333333333333334
8,6,0.3,ILP-PA2,-8.650536601710547,0.6,0.16604989442399765
9,6,0.4,ReverseLPA,-12.122500545679667,0.2,0.5055555555555555
10,6,0.4,ILP-PA1,-3.7705234431544463,0.2,0.5055555555555555
11,6,0.4,ILP-PA2,-9.779093458165367,0.06666666666666665,0.19927174936300684
12,6,0.5,ReverseLPA,-9.010913347279288,-0.3333333333333333,0.48333333333333334
13,6,0.5,ILP-PA1,-9.704060527839234,-0.3333333333333333,1.0
14,6,0.5,ILP-PA2,-4.852030263919617,-0.06666666666666665,0.2240740740740741
15,6,0.6,ReverseLPA,-8.773419165156527,-0.4666666666666666,0.46296296296296297
16,6,0.6,ILP-PA1,-5.813825938218409,-0.2,0.14973744135534953
17,6,0.6,ILP-PA2,-5.813825938218409,-0.2,0.14973744135534953
18,6,0.7,ReverseLPA,-7.312615824874871,0.3333333333333333,0.19907407407407407
19,6,0.7,ILP-PA1,-5.39529313267147,-0.06666666666666665,0.7666666666666666
20,6,0.7,ILP-PA2,-9.007211545649277,0.8666666666666666,0.19907407407407407
21,6,0.8,ReverseLPA,-8.89233071419271,0.06666666666666665,0.4694444444444444
22,6,0.8,ILP-PA1,-3.1714427716335685,-0.2,0.17403954898800336
23,6,0.8,ILP-PA2,-6.836605699130189,0.2,0.4444444444444444
24,6,0.9,ReverseLPA,-10.580027075527926,0.06666666666666665,0.5055555555555555
25,6,0.9,ILP-PA1,-3.4615507652301356,0.6,0.16570621565467003
26,6,0.9,ILP-PA2,-3.4615507652301356,0.6,0.16570621565467003
27,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.4777777777777778
28,6,0.1,ILP-PA1,-9.737142950265314,0.3333333333333333,0.7222222222222223
29,6,0.1,ILP-PA2,-7.7506394042447475,0.7333333333333333,0.21325502268190222
30,6,0.2,ReverseLPA,-10.54920167986144,-0.2,0.4851851851851852
31,6,0.2,ILP-PA1,-3.6651629274966204,0.3333333333333333,0.18247689207378504
32,6,0.2,ILP-PA2,-7.10718230367903,0.8666666666666666,0.16604989442399765
33,6,0.3,ReverseLPA,-7.446563797384611,-0.6,1.0
34,6,0.3,ILP-PA1,-6.955940880936139,0.3333333333333333,0.2183654281323345
35,6,0.3,ILP-PA2,-6.599265936997407,0.7333333333333333,0.1851851851851852
36,6,0.4,ReverseLPA,-9.373628350057203,-0.4666666666666666,0.49074074074074076
37,6,0.4,ILP-PA1,-9.373628350057203,-0.06666666666666665,0.46296296296296297
38,6,0.4,ILP-PA2,-8.562698133840875,0.4666666666666666,0.1851851851851852
39,6,0.5,ReverseLPA,-7.624618986159398,0.3333333333333333,0.16666666666666666
40,6,0.5,ILP-PA1,-2.772588722239781,-0.6,0.7444444444444445
41,6,0.5,ILP-PA2,-2.772588722239781,-0.6,0.4851851851851852
42,6,0.6,ReverseLPA,-7.751767917624546,-0.2,0.46296296296296297
43,6,0.6,ILP-PA1,-2.854232711280291,0.2,0.48888888888888893
44,6,0.6,ILP-PA2,-3.3650583350462817,0.7333333333333333,0.47222222222222215
45,6,0.7,ReverseLPA,-8.025965712752335,0.2,0.19907407407407407
46,6,0.7,ILP-PA1,-9.229938517078272,0.7333333333333333,0.14903954898800337
47,6,0.7,ILP-PA2,-3.477970440468069,-0.2,0.4851851851851852
48,6,0.8,ReverseLPA,-8.89233071419271,0.2,0.48333333333333334
49,6,0.8,ILP-PA1,-6.836605699130189,0.2,0.5055555555555555
50,6,0.8,ILP-PA2,-2.5020121176909393,0.2,1.0
51,6,0.9,ReverseLPA,-10.685387591185751,0.2,1.0
52,6,0.9,ILP-PA1,-0.5268025782891315,-0.3333333333333333,1.0
53,6,0.9,ILP-PA2,-0.9482446409204366,0.06666666666666665,0.3573728823213367
54,6,0.1,ReverseLPA,-9.631782434607487,-0.06666666666666665,0.18055555555555555
55,6,0.1,ILP-PA1,-9.737142950265314,0.3333333333333333,0.736111111111111
56,6,0.1,ILP-PA2,-7.7506394042447475,0.7333333333333333,0.4028383560152356
57,6,0.2,ReverseLPA,-7.33032585499324,-0.2,0.18055555555555555
58,6,0.2,ILP-PA1,-6.613462147815979,0.4666666666666666,0.4111716893485689
59,6,0.2,ILP-PA2,-5.94403149387335,0.2,0.4916666666666667
60,6,0.3,ReverseLPA,-7.446563797384611,-0.6,1.0
61,6,0.3,ILP-PA1,-7.669290768813603,0.2,0.7407407407407408
62,6,0.3,ILP-PA2,-6.599265936997406,0.6,0.16604989442399765
63,6,0.4,ReverseLPA,-8.457337618183047,-0.4666666666666666,0.736111111111111
64,6,0.4,ILP-PA1,-9.478988865715028,0.3333333333333333,0.17878209479900115
65,6,0.4,ILP-PA2,-7.541046886308893,0.2,0.2236716893485689
66,6,0.5,ReverseLPA,-6.931471805599452,-0.4666666666666666,0.4444444444444445
67,6,0.5,ILP-PA1,-9.704060527839234,0.3333333333333333,0.16106767959612056
68,6,0.5,ILP-PA2,-6.931471805599452,0.06666666666666665,0.4583333333333333
69,6,0.6,ReverseLPA,-7.751767917624546,-0.3333333333333333,0.7444444444444445
70,6,0.6,ILP-PA1,-6.730116670092563,-0.06666666666666665,0.7444444444444445
71,6,0.6,ILP-PA2,-6.730116670092563,-0.2,1.0
72,6,0.7,ReverseLPA,-8.025965712752335,0.06666666666666665,0.2074074074074074
73,6,0.7,ILP-PA1,-4.325268300855273,-0.2,0.5055555555555555
74,6,0.7,ILP-PA2,-4.325268300855273,0.06666666666666665,0.21296296296296294
