run,q_con,q_mod,n,LKL_greedy,LKL_ILP
1,0.1,0.1,4,-0.527,-0.527
1,0.1,0.1,5,-0.843,-0.843
1,0.1,0.1,6,-3.356,-3.356
1,0.1,0.2,4,-0.657,-0.657
1,0.1,0.2,5,-1.432,-1.432
1,0.1,0.2,6,-1.983,-1.983
1,0.1,0.3,4,-0.924,-0.924
1,0.1,0.3,5,-1.386,-1.386
1,0.1,0.3,6,-1.848,-1.848
1,0.1,0.4,4,-1.232,-1.232
1,0.1,0.4,5,-3.681,-3.681
1,0.1,0.4,6,-4.297,-4.297
1,0.1,0.5,4,-2.29,-2.29
1,0.1,0.5,5,-3.782,-3.782
1,0.1,0.5,6,-8.857,-8.164
1,0.1,0.6,4,-2.554,-2.554
1,0.1,0.6,5,-3.576,-3.576
1,0.1,0.6,6,-4.597,-4.597
1,0.1,0.7,4,-2.619,-2.619
1,0.1,0.7,5,-4.641,-4.641
1,0.1,0.7,6,-5.951,-5.951
1,0.1,0.8,4,-4.464,-3.653
1,0.1,0.8,5,-6.178,-5.368
1,0.1,0.8,6,-7.893,-7.082
1,0.1,0.9,4,-7.118,-7.013
1,0.1,0.9,5,-7.435,-7.224
1,0.1,0.9,6,-10.053,-9.632
1,0.2,0.1,4,-2.043,-2.043
1,0.2,0.1,5,-2.372,-2.372
1,0.2,0.1,6,-7.411,-7.411
1,0.2,0.2,4,-2.279,-2.279
1,0.2,0.2,5,-2.948,-2.948
1,0.2,0.2,6,-3.395,-3.395
1,0.2,0.3,4,-1.16,-1.16
1,0.2,0.3,5,-3.126,-3.126
1,0.2,0.3,6,-4.91,-4.91
1,0.2,0.4,4,-2.384,-2.384
1,0.2,0.4,5,-4.504,-4.504
1,0.2,0.4,6,-5.238,-5.238
1,0.2,0.5,4,-2.526,-2.526
1,0.2,0.5,5,-3.442,-3.442
1,0.2,0.5,6,-4.358,-4.358
1,0.2,0.6,4,-2.279,-2.279
1,0.2,0.6,5,-4.44,-4.44
1,0.2,0.6,6,-5.579,-5.579
1,0.2,0.7,4,-2.854,-2.854
1,0.2,0.7,5,-6.024,-5.668
1,0.2,0.7,6,-8.347,-7.451
1,0.2,0.8,4,-3.888,-3.665
1,0.2,0.8,5,-5.721,-5.498
1,0.2,0.8,6,-8.94,-8.717
1,0.2,0.9,4,-4.241,-3.535
1,0.2,0.9,5,-6.166,-5.25
1,0.2,0.9,6,-10.183,-9.162
1,0.3,0.1,4,-1.029,-1.029
1,0.3,0.1,5,-1.597,-1.597
1,0.3,0.1,6,-5.314,-5.314
1,0.3,0.2,4,-1.16,-1.16
1,0.3,0.2,5,-2.587,-2.587
1,0.3,0.2,6,-3.39,-3.39
1,0.3,0.3,4,-2.631,-2.631
1,0.3,0.3,5,-3.344,-3.344
1,0.3,0.3,6,-4.414,-4.414
1,0.3,0.4,4,-2.651,-2.651
1,0.3,0.4,5,-4.366,-4.366
1,0.3,0.4,6,-5.744,-5.744
1,0.3,0.5,4,-2.947,-2.947
1,0.3,0.5,5,-5.383,-5.383
1,0.3,0.5,6,-7.819,-7.819
1,0.3,0.6,4,-2.546,-2.546
1,0.3,0.6,5,-4.261,-4.261
1,0.3,0.6,6,-6.961,-6.961
1,0.3,0.7,4,-3.121,-3.121
1,0.3,0.7,5,-4.682,-4.682
1,0.3,0.7,6,-7.803,-7.447
1,0.3,0.8,4,-3.932,-3.077
1,0.3,0.8,5,-5.359,-4.504
1,0.3,0.8,6,-7.325,-6.155
1,0.3,0.9,4,-4.921,-4.816
1,0.3,0.9,5,-7.791,-6.231
1,0.3,0.9,6,-9.206,-7.645
1,0.4,0.1,4,-1.743,-1.743
1,0.4,0.1,5,-2.465,-2.465
1,0.4,0.1,6,-3.081,-3.081
1,0.4,0.2,4,-2.097,-2.097
1,0.4,0.2,5,-3.277,-3.277
1,0.4,0.2,6,-5.086,-5.086
1,0.4,0.3,4,-2.939,-2.939
1,0.4,0.3,5,-4.569,-4.569
1,0.4,0.3,6,-6.149,-6.149
1,0.4,0.4,4,-2.854,-2.854
1,0.4,0.4,5,-3.876,-3.876
1,0.4,0.4,6,-5.303,-5.303
1,0.4,0.5,4,-2.408,-2.408
